mean_phrases,nice_phrases
bad bot,beautiful
cunt,cute
disappoint,i do not fucking hate you
disgusting,i do not hate you
douche,i don't fucking hate you
dumb,i don't hate you
dumbass,i love you
fuck you,ily
fuck yourself,thank you
fucking dumbass,thanks
fuk u,that is not stupid
go away,that was awesome
go fuck yourself,that was cool
h8 you,that was poggers
hate you,that's awesome
i am going to kill you,that's cool
i fucking hate you,that's not stupid
i h8 you,that's poggers
i hate you,you are a cutie
i hate you so much,you are a great bot
i really hate you,you are amazing
i want you to leave,you are an amazing bot
i will kill you,you are awesome
i'll kill you,you are beautiful
i'm going to kill you,you are cool
idiot,you are cute
kill yourself,you are my favorite bot
leave,you are nice
please go away,you are not a cunt
please leave,you are not a douche
shithead,you are not a dumbass
smelly,you are not a fucking cunt
stupid,you are not a fucking douche
stupid bot,you are not a fucking dumbass
terrible bot,you are not a fucking idiot
that is dumb,you are not a fucking shithead
that is stupid,you are not a shithead
that's dumb,you are not an idiot
that's stupid,you are not dumb
ugly,you are not fucking dumb
worst bot,you are not fucking stupid
you are a bad bot,you are not stupid
you are a cunt,you are the best bot
you are a dissapointment,you are the shit
you are a douche,you're a cutie
you are a dumbass,you're a great bot
you are a fucking cunt,you're amazing
you are a fucking douche,you're an amazing bot
you are a fucking dumbass,you're awesome
you are a fucking idiot,you're beautiful
you are a fucking shithead,you're cool
you are a shithead,you're cute
you are a stupid bot,you're my favorite bot
you are a terrible bot,you're nice
you are an asshole,you're not a cunt
you are an idiot,you're not a douche
you are disappointing,you're not a dumbass
you are disgusting,you're not a fucking cunt
you are dumb,you're not a fucking douche
you are fucking stupid,you're not a fucking dumbass
you are mean,you're not a fucking idiot
you are smelly,you're not a fucking shithead
you are stupid,you're not a shithead
you are ugly,you're not an idiot
you disappoint me,you're not dumb
you disgust me,you're not fucking dumb
you should leave,you're not fucking stupid
you suck,you're not stupid
you're a bad bot,you're poggers
you're a cunt,you're the best bot
you're a dissapointment,you're the shit
you're a douche,
you're a dumbass,
you're a fucking cunt,
you're a fucking douche,
you're a fucking dumbass,
you're a fucking idiot,
you're a fucking shithead,
you're a shithead,
you're a stupid bot,
you're an asshole,
you're an idiot,
you're disappointing,
you're disgusting,
you're dumb,
you're fucking dumb,
you're fucking stupid,
you're mean,
you're shit,
you're smelly,
you're stupid,
you're the worst bot,
you're ugly,
